"uniprot","main_gene","protein_name","V24_1","V24_2","V24_3","V24_4","I24_1","I24_2","I24_3","I24_4","V36_1","V36_2","V36_3","V36_4","I36_1","I36_2","I36_3","I36_4","veh_pval","INK_pval"
"Q8CBG9","Rnf170","E3 ubiquitin-protein ligase RNF170",49110.2825641381,56910.3629653197,46073.8360312318,47142.9776863177,46838.1369904144,42233.7715913492,36792.9128564761,35130.1916595256,48562.3423456937,59757.4007398226,51359.4513091796,41726.1010401732,47299.8391206578,44904.8247884969,29142.9118347,35285.12578858,0.96,1
"Q8CBQ5","Pi4k2b","Phosphatidylinositol 4-kinase type 2-beta",87974.5280614296,70125.9665917731,80881.764036545,148465.548555429,61546.0149693998,66228.6116586938,64643.1882153551,90952.4981922086,87073.3021303618,71896.5841495391,73549.6736033818,123927.630270242,64377.005019767,56597.7366754162,54232.2588171877,71846.7586368472,0.8,0.75
"Q8CBR6","Tsku","Tsukushin",214998.182431099,200006.577653,180053.436177473,214500.368000432,211799.511651304,238546.745711163,155359.233156526,142248.709425005,228186.811045744,230773.28466265,185530.879250973,196757.46404171,223868.41447519,256301.257876298,156995.642411854,143943.328332687,0.9,1
"Q8CBW3","Abi1","Abl interactor 1",2090015.30221071,1560480.00899257,1587395.56128438,1235062.27622814,2359986.67889401,1682732.39821076,1802847.52268618,1310644.60386554,2078174.4117682,1494816.9284885,1412795.52457974,1313059.12364181,2278038.21058129,1646596.71063654,1625374.66042524,1236166.69142463,0.92,1
"Q8CBW7","Chic1","Cysteine-rich hydrophobic domain-containing protein 1;Cysteine-rich hydrophobic domain-containing protein 2",87830.838311988,69591.7363266488,86701.1077882508,76575.3049046513,113787.871592083,72835.4657590176,103425.282471724,83936.214376036,88790.8888269363,74356.9079344779,90071.0550419522,82976.6909573814,119412.729080602,89548.4554008173,142821.100889674,88324.6804127021,0.86,0.54
"Q8CBY0","Gatc","Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial",46164.642700586,34990.4335067956,39193.0667443737,75559.2457806411,47549.9512517545,46330.0874840807,42596.4276998798,61799.0376722191,42393.0317822859,40521.918317195,47228.6312517598,60777.0022497043,58867.4358036523,45644.5767874628,43411.4056493906,47494.2981497819,0.95,1
"Q8CBY1","Samd4a","Protein Smaug homolog 1",356293.102715304,234302.841586902,186920.925788288,330886.962862641,280591.365931077,251186.521820746,151566.596717813,317829.992610258,363292.123057698,259847.601080867,165232.802296793,309062.580707252,287784.414723812,249726.678441716,152706.516014653,307446.039031549,0.94,1
"Q8CBY3","Leng8","Leukocyte receptor cluster member 8 homolog",177121.564478302,220559.603130697,198009.455284204,204601.461614648,228526.514630929,279012.275657786,199083.037225717,246385.13238083,231600.886221514,232742.199995712,226535.273247746,224639.707161018,269044.383376483,299523.527029904,213829.971243344,236016.547218514,0.38,1
"Q8CBY8","Dctn4","Dynactin subunit 4",862291.765715461,609104.945183797,837852.703485208,747317.802240536,637901.895944061,592999.57484189,672173.208646052,714155.966822304,974737.642880112,716184.74858744,827749.5020599,824618.81394502,794314.968687877,604923.923023781,725039.372692664,735666.116968344,0.66,1
"Q8CC12","Cdan1","Codanin-1",60057.5256082594,32416.5648529099,43298.3837382421,33583.19042477,48027.8656226009,32999.4364729704,43060.7436025597,32308.3496083341,48501.9247232012,31956.3162369862,40537.2913839834,28791.0195423295,46289.1267633252,33198.4953925275,41246.4180393746,36138.8756715106,0.54,1
"Q8CC21","Ttc19","Tetratricopeptide repeat protein 19, mitochondrial",56186.5237583037,102806.348859559,121186.529375377,109456.458030594,81765.0800979078,122292.322005114,106558.329964574,114172.426142335,60636.2767453992,99463.0395751856,90333.0882149809,101085.412069963,69654.1978471747,97643.6858610849,92163.1140701541,88932.7370013488,0.72,0.3
"Q8CC27","Cacnb2","Voltage-dependent L-type calcium channel subunit beta-2",3268.65437352272,2963.98861587848,2982.33076740563,2610.62233649973,3902.08239703435,3396.40081238219,3848.70158386533,1903.1059513714,2261.824803948,2084.09679993083,2977.01959373734,2639.479812798,3521.00208408116,3949.13062635203,3765.58065125744,2049.68608017245,0.18,1
"Q8CC35","Synpo","Synaptopodin",367673.330871076,229240.844938966,207504.423654958,313669.904171597,408996.084193413,279609.430434617,230734.627825228,327556.638297822,304255.47479353,244047.055533044,210433.524644244,289649.151389509,384145.655911777,296437.499948365,221427.852289815,337327.28493412,0.87,1
"Q8CC84","Lysmd4","LysM and putative peptidoglycan-binding domain-containing protein 4",6718.93268388757,6799.39953282324,7042.59171755669,4709.15448394455,3202.27921115209,4985.41300490161,4891.98044733251,2864.90113455518,5330.75241725956,6710.88399669505,6570.38696685361,5684.71601771277,3940.02906300202,5408.86607359634,4086.38020619099,2766.72604073343,0.91,1
