uniprot,Mean Diff.,Discovery?,q value,Individual P Value
O35980,-0.3418,No,0.11,0.01
O35988,-0.2568,No,0.40,0.04
O54692,0.02295,No,1.00,0.86
O54724,-0.3128,No,0.19,0.01
O54734,0.09122,No,1.00,0.47
O54754,0.2462,No,0.44,0.05
O54774,-0.03595,No,1.00,0.78
O54775,-0.2307,No,0.51,0.07
O54781,0.04764,No,1.00,0.71
O54782,0.0158,No,1.00,0.90
O54784,-0.4856,Yes,0.00,0.00
O54786,0.07484,No,1.00,0.55
O54791,-0.2361,No,0.49,0.06
O54792,-0.01038,No,1.00,0.93
O54818,0.07756,No,1.00,0.54
O54819,-0.1667,No,0.85,0.19
O54824,0.01922,No,1.00,0.88
O54825,0.1339,No,0.98,0.29
O54826,-0.1545,No,0.90,0.22
O54827,-0.3291,No,0.14,0.01
O54833,-0.1207,No,1.00,0.34
O54834,0.4171,Yes,0.02,0.00
O54836,-0.08101,No,1.00,0.52
O54879,-0.1674,No,0.85,0.19
O54890,0.1341,No,0.98,0.29
O54901,0.003202,No,1.00,0.98
O54910,-0.01803,No,1.00,0.89
O54916,-0.05012,No,1.00,0.69
O54918,-0.119,No,1.00,0.35
O54926,0.05615,No,1.00,0.66
O54931,-0.05718,No,1.00,0.65
O54940,-0.9385,Yes,0.00,0.00
O54941,0.0004882,No,1.00,1.00
O54946,-0.03252,No,1.00,0.80
O54950,-0.07321,No,1.00,0.56
O54956,0.9637,Yes,0.00,0.00
O54962,0.04573,No,1.00,0.72
O54967,-0.04248,No,1.00,0.74
O54984,0.115,No,1.00,0.36
O54988,-0.09785,No,1.00,0.44
O54991,-0.06873,No,1.00,0.59
O54992,0.08069,No,1.00,0.52
O54998,0.2753,No,0.32,0.03
O55013,0.00276,No,1.00,0.98
O55017,-0.5589,Yes,0.00,0.00
O55022,0.02036,No,1.00,0.87
O55023,0.02317,No,1.00,0.85
O55028,0.05732,No,1.00,0.65
O55029,0.02082,No,1.00,0.87
O55033,-0.1386,No,0.96,0.27
