uniprot,Mean Diff.,Discovery?,q value,Individual P Value
Q6PB51,0.1249,No,0.70,0.28
Q6PB60,-0.3536,Yes,0.03,0.00
Q6PB66,-0.02246,No,0.94,0.85
Q6PB70,0.02412,No,0.94,0.83
Q6PB90,-0.2267,No,0.27,0.05
Q6PB93,-0.01673,No,0.94,0.88
Q6PCM1,0.0769,No,0.85,0.50
Q6PCM2,-0.3246,No,0.05,0.00
Q6PCN7,-0.05533,No,0.90,0.63
Q6PCQ0,-0.51,Yes,0.00,0.00
Q6PCX9,0.0789,No,0.85,0.49
Q6PCZ4,-0.03667,No,0.92,0.75
Q6PD03,-0.02381,No,0.94,0.84
Q6PD10,0.05706,No,0.89,0.62
Q6PD19,-0.1186,No,0.72,0.30
Q6PD21,-0.9142,Yes,0.00,0.00
Q6PD26,0.005946,No,0.96,0.96
Q6PD28,-0.002875,No,0.96,0.98
Q6PD29,-1.071,Yes,0.00,0.00
Q6PDG5,-0.07841,No,0.85,0.50
Q6PDG8,0.1273,No,0.69,0.27
Q6PDH0,0.004151,No,0.96,0.97
Q6PDI5,0.06378,No,0.88,0.58
Q6PDI6,-0.1459,No,0.61,0.21
Q6PDJ6,0.2917,No,0.10,0.01
Q6PDK2,-0.745,Yes,0.00,0.00
Q6PDL0,0.01717,No,0.94,0.88
Q6PDM1,-0.1267,No,0.69,0.27
Q6PDM2,-0.0316,No,0.92,0.78
Q6PDN3,-0.2323,No,0.25,0.04
Q6PDQ2,-0.8373,Yes,0.00,0.00
Q6PDX6,-0.07194,No,0.86,0.53
Q6PDY2,0.06304,No,0.89,0.58
Q6PDZ2,0.2229,No,0.29,0.05
Q6PE01,0.06403,No,0.88,0.58
Q6PE15,-0.06271,No,0.89,0.59
Q6PE54,-0.1276,No,0.69,0.27
Q6PEB4,0.06421,No,0.88,0.58
Q6PEB6,0.03839,No,0.92,0.74
Q6PEE2,0.003491,No,0.96,0.98
Q6PEM8,-0.3056,No,0.08,0.01
Q6PER3,-0.1073,No,0.76,0.35
Q6PEV3,-0.0008865,No,0.96,0.99
Q6PF93,0.006083,No,0.96,0.96
Q6PFD9,0.01729,No,0.94,0.88
Q6PFQ7,-0.07063,No,0.86,0.54
Q6PFR5,0.08251,No,0.84,0.47
Q6PFX9,-0.07844,No,0.85,0.50
Q6PFY1,-0.8457,Yes,0.00,0.00
Q6PG04,0.3178,No,0.06,0.01
Q6PG16,0.8544,Yes,0.00,0.00
Q6PGA0,-0.2412,No,0.23,0.04
Q6PGB6,0.3171,No,0.06,0.01
Q6PGB8,-0.2769,No,0.13,0.02
Q6PGC1,-0.2267,No,0.27,0.05
Q6PGD0,-0.6978,Yes,0.00,0.00
Q6PGE4,-0.9757,Yes,0.00,0.00
Q6PGF3,-0.1682,No,0.51,0.14
Q6PGF7,-0.00109,No,0.96,0.99
Q6PGG2,0.1624,No,0.54,0.16
Q6PGG6,-0.007483,No,0.96,0.95
Q6PGH0,-0.1846,No,0.44,0.11
Q6PGH1,-0.2496,No,0.20,0.03
Q6PGH2,0.1827,No,0.45,0.11
Q6PGL7,0.001873,No,0.96,0.99
Q6PH08,0.04217,No,0.91,0.71
Q6PHN9,0.0222,No,0.94,0.85
Q6PHQ8,-0.07933,No,0.85,0.49
Q6PHS6,-0.2414,No,0.23,0.04
Q6PHU5,0.1492,No,0.60,0.20
Q6PHZ2,-0.1742,No,0.49,0.13
Q6PHZ5,-0.256,No,0.18,0.03
Q6PIJ4,-0.2117,No,0.33,0.07
Q6PIP5,0.1277,No,0.69,0.27
Q6PIU9,-0.03185,No,0.92,0.78
Q6PIX5,-0.1486,No,0.60,0.20
Q6PNC0,-0.02592,No,0.94,0.82
Q6PR54,-0.2629,No,0.16,0.02
Q6Q477,-0.04952,No,0.91,0.67
Q6Q899,-0.06505,No,0.88,0.57
Q6QD59,-0.09615,No,0.80,0.40
Q6QI06,-0.002843,No,0.96,0.98
Q6R891,-0.05307,No,0.90,0.64
Q6RHR9,-0.07285,No,0.86,0.53
Q6RT24,0.8949,Yes,0.00,0.00
Q6RUT7,0.06192,No,0.89,0.59
Q6S5C2,-0.1224,No,0.71,0.29
Q6S5J6,-0.2708,No,0.15,0.02
