"uniprot","main_gene","protein_name","I3_1","I3_2","I3_3","I3_4","I9_1","I9_2","I9_3","I9_4","I15_1","I15_2","I15_3","I15_4","I21_1","I21_2","I21_3","I21_4","pval","Phase","Amplitude"
"O08740","Polr2j","DNA-directed RNA polymerase II subunit RPB11",140288.841433174,137566.405412952,115888.37830286,113980.428392734,159619.025397796,127181.856053525,167029.820569353,121173.872826525,136330.482845088,141952.604848467,118864.013713501,120408.560409567,112563.426811389,107129.800532747,122361.849267168,108150.45475542,0.0380528357368757,10.58,13077
"O09172","Gclm","Glutamate--cysteine ligase regulatory subunit",1875985.37999353,1889775.88662259,1816003.08816836,1736351.77275733,1816821.94837888,1830099.85264528,1639870.60551704,1712185.37486637,1733381.83237117,1523583.92409796,1596028.92253029,1685440.94795976,1727912.27149865,1662975.07389762,1724162.88597487,1570503.56077328,0.0380528357368757,5.13,66460
"O35864","Cops5","COP9 signalosome complex subunit 5",1964231.5802423,1893543.55626367,1854017.4401586,1839226.66049743,2117288.60455234,2186998.97046107,2049191.5107333,1986472.28485773,2097105.3351451,2145409.91935071,2035508.47343129,2250802.12284736,2164474.91603755,2051659.49051102,2189497.13183035,2011664.34225289,0.0380528357368757,15.59,87710
"O54825","Bysl","Bystin",361156.934608616,250863.076056812,320832.862496204,349953.729965932,395348.294927684,460556.523280874,380825.762643944,437117.307637614,400093.315063518,495598.105205023,444587.05812376,529996.515705962,366671.620279267,308440.160259064,344593.749032579,422609.696838306,0.0175321223791074,13.84,68824
"O55091","Impact","Protein IMPACT",118363.773391368,92362.756914411,78746.8009533513,97443.8124046473,111930.125784322,107431.57841536,106634.716808323,124652.611492925,84095.3153746631,100292.224393688,106586.116085936,101173.762280057,54206.2272940772,75770.2077496314,97314.9435889566,94816.0074690881,0.0247840195162149,10.48,12931
"O55229","Chkb","Choline/ethanolamine kinase",274334.236151027,234103.729199192,223235.004820061,241022.794607452,274596.262333786,253965.762456013,231605.181510862,230640.103168326,208385.110004652,199809.967191329,222736.866103287,216441.65497926,229508.15549978,215271.92717295,244671.166098468,220562.711153826,0.0274583284381719,5.85,14784
"O70165","Fcn1","Ficolin-1",8531.2657811009,6354.36797433531,12630.5405335536,9412.39316387402,10158.5226724784,8564.79309555391,9376.28053625874,8576.40222328083,6202.67078554258,7341.40431375088,9126.67375463544,7300.40520909283,5844.76872105297,5707.97133760963,6770.92531898439,5957.24132273565,0.0247840195162149,8.45,1086
"O70370","Ctss","Cathepsin S",1383278.61690325,1419862.46544981,1449636.42034471,1626397.13473761,1157729.78028776,1063485.28296866,1191999.86388796,1088315.77690049,1112385.85381989,1295437.50517689,1035802.8283307,1192346.07425534,1294966.00235077,1156826.0724769,1332541.06765866,1224847.89790753,0.0200042851164173,1.91,142991
"O70570","Pigr","Polymeric immunoglobulin receptor;Secretory component",1916806.56217862,1487529.63595686,1554821.22943359,1753239.04250551,1799101.48432445,1826349.50572455,2372770.69045172,1949098.93679193,1413593.32922862,1409836.66878152,1464669.72681291,1247020.90873632,1409127.69993625,1568253.8050539,1502130.82128485,1593070.73363269,0.0159635076083501,7.55,259209
"O88487","Dync1i2","Cytoplasmic dynein 1 intermediate chain 2",242195.016916603,219445.596452695,243371.823570184,257087.370471252,234551.953474628,242544.650899244,219610.678740225,247958.182439333,240262.164798453,267658.595210372,284843.6840464,264043.818806382,241573.667590585,216146.456322895,217178.324558651,228542.8835915,0.0436840271864044,14.98,13623
