"uniprot","main_gene","protein_name","I3_1","I3_2","I3_3","I3_4","I9_1","I9_2","I9_3","I9_4","I15_1","I15_2","I15_3","I15_4","I21_1","I21_2","I21_3","I21_4","pval","Phase","Amplitude"
"P45481","Crebbp","CREB-binding protein",162958.410360315,169924.688799307,137424.215551512,162637.694591957,156465.613731068,180049.911149606,201298.728700651,165970.70887678,179086.43319163,190747.526289797,147814.400416508,172649.814134549,191307.056347125,179539.983062875,140046.371445803,149272.809857547,0.133396167882644,13.1,8179
"P45591","Cfl2","Cofilin-2",3831348.28110797,3734385.08207742,3573882.63504187,3840889.18954394,3969529.26470002,4232977.53598126,4010059.56058663,3991629.7107526,4218786.46940576,4551171.23138731,3648045.12852903,3644284.74123113,4118375.74713942,4166609.95162454,3908933.53273436,3668120.38655617,0.105578694433708,14.04,117217
"P45700","Man1a1","Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA",1187564.45674776,1221919.47150598,1063686.75366044,1208929.88301551,1021487.99583034,1105910.06888318,1159785.93431827,1077469.44478891,1194039.81093967,1186016.55649105,1086218.71736034,1169293.17679828,1219376.91927042,1194831.48037682,1160455.34891266,1126601.99492498,0.0664949120775167,22.47,38820
"P45878","Fkbp2","Peptidyl-prolyl cis-trans isomerase FKBP2",1666339.87814278,2022132.4515217,1499555.74259872,1686558.17811489,1630607.14796983,1793266.4726544,1647505.35583067,1686700.82825438,1763743.93481483,1550527.81884236,1640764.84112041,1453064.62326135,1919144.20973581,1621337.32325718,1413638.17780792,1631216.85254469,0.155780990214867,5.56,45889
"P45952","Acadm","Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",15564810.4065799,14837438.2012736,17050812.9156421,14680329.2256954,15114262.0471441,15582207.6668419,14960172.0699822,15359588.5320053,15966569.09539,17040803.4260354,14548902.3679106,13074913.0216682,15113821.0696101,15094819.1252414,14054050.0981431,14311328.2256408,0.133396167882644,7.81,256063
"P46062","Sipa1","Signal-induced proliferation-associated protein 1",238807.804394364,225847.552926012,163044.174263299,242599.526063646,180364.368688042,193781.239326616,198809.286429911,218110.281503394,221330.60602966,220762.947174858,140628.563229767,206677.432408726,190056.981727701,189897.21841503,249431.382018716,199560.476532773,0.155780990214867,2.1,9778
"P46412","Gpx3","Glutathione peroxidase 3",437035.043125103,796028.540205523,935335.326877843,707445.300325439,870680.27335241,703781.59315972,730873.125994748,656589.562254058,756262.990509856,815183.05341039,625843.44273761,728434.991990674,771097.871673119,798191.962046088,1199141.33546289,814294.13766931,0.133396167882644,21.19,55726
"P46414","Cdkn1b","Cyclin-dependent kinase inhibitor 1B",343503.720927881,303739.971077417,379861.415234825,337366.077282882,290744.039007294,345590.639420581,340660.954372701,367761.801249583,294280.200790092,401653.149855501,311884.97575789,357350.321843192,243863.575301841,309179.025695831,334437.010637577,374587.477509135,0.239425905032043,10.14,7547
"P46467","Vps4b","Vacuolar protein sorting-associated protein 4B",1423080.79269822,1277014.66756744,1488292.35861843,1521769.58419159,1229744.0589701,1490712.61570132,1608498.97801086,1612090.56165925,1456745.65656216,1421667.28844033,1541175.19994058,1617726.00183009,1309494.98492391,1202719.48308843,1604676.64141335,1533745.70330524,0.155780990214867,13.33,49240
"P46471","Psmc2","26S protease regulatory subunit 7",6312397.46395182,6257020.71934444,5435463.74079806,5805719.79862755,6260205.61133953,6286890.77598953,5729297.58982961,5801312.28066772,6388883.47493507,6222160.96551871,6081059.42732982,5840474.18506547,6276592.09133102,5975019.90056544,5703201.6398089,5880976.34681146,0.239425905032043,14.66,86582
