"uniprot","main_gene","protein_name","V3_1","V3_2","V3_3","V3_4","V9_1","V9_2","V9_3","V9_4","V15_1","V15_2","V15_3","V15_4","V21_1","V21_2","V21_3","V21_4","pval","Phase","Amplitude"
"Q8CHQ9","Cml2","Probable N-acetyltransferase CML2",2184004.90914542,2206665.63509466,1767031.12984011,2205654.05861712,1796416.06398614,1952711.12996643,1934887.44785436,1790951.69016617,2011422.43050955,2040824.31615875,1824872.4885163,1956725.34768162,1903874.818769,2072125.45713096,1955414.90322384,2205457.351994,0.049885928955426,0.14,92790
"Q8CHS2","Dnajc22","DnaJ homolog subfamily C member 22",714569.287530381,810460.815002777,765411.698066128,728035.153609297,795563.775409903,665605.925466774,634669.604115515,628277.342265011,739323.974467003,687805.282954378,639090.445934269,661876.876436518,814523.814469307,885162.746534573,719222.355550379,682428.090720864,0.049885928955426,0.59,53128
"Q8CHT6","Fam169b","Protein FAM169B",76996.7431746535,90544.5314639138,82758.8254436174,93860.4776863974,61072.1974088671,64995.5309225332,59082.4277670234,72792.7673342596,76953.5190003811,69175.5662370261,59005.903893191,65273.37531493,57885.5757263124,91929.9236728563,86090.0491652219,82646.9088996971,0.0358402101501716,1.06,10471
"Q8CI04","Cog3","Conserved oligomeric Golgi complex subunit 3",304948.181416138,272630.082028448,265833.213081231,349620.29721079,326827.367191606,304991.917063055,336520.441684345,347333.845476881,339614.569246279,350475.031183727,337874.221681081,341619.866801434,313312.736411889,339550.469324125,302703.1031246,327810.464429322,0.0454175116054217,14.92,18635
"Q8CI08","Slain2","SLAIN motif-containing protein 2",209204.223400394,215075.382321483,189239.743349173,231437.764782482,199687.916112744,208182.390325688,187009.239892784,183220.234131161,228106.734680501,193120.580902556,237914.682888639,254136.326854984,184718.757905632,217573.78947624,236824.704909946,222734.475702265,0.0414806424053415,19.54,18917
"Q8CIM7","Cyp2d26","Cytochrome P450 2D26",25006784.0408576,29074976.9733128,26494302.8268709,26038644.7947149,23941117.9682725,23226309.9577716,24772074.0627891,24131104.9571198,27051710.7826115,24922562.9158153,24777910.3398882,25149538.9293444,25907541.3360272,24918324.4471215,25735879.8211748,26106750.5258012,0.0183286225932437,23.69,951659
"Q8CIV8","Tbce","Tubulin-specific chaperone E",341854.645023524,349186.895927553,329153.436673787,390843.29308645,339440.933117031,339262.993439542,332450.508235332,333838.649942389,404360.425445987,267273.907733211,404571.466470793,393172.574161694,265203.306453012,268081.448212074,319756.69053225,291129.549698784,0.049885928955426,11.25,20918
"Q8JZK9","Hmgcs1","Hydroxymethylglutaryl-CoA synthase, cytoplasmic",1986312.77275339,1804285.28672563,2401399.5788779,1637112.4564578,1591126.53927592,1942244.01350771,1673708.26142029,1911131.73911062,1572417.42080431,1735920.17812011,1472945.22787843,1570760.77227821,1738126.7674812,1472686.03584824,1243860.89464343,1792418.55932975,0.0454175116054217,6.12,130627
"Q8JZN5","Acad9","Acyl-CoA dehydrogenase family member 9, mitochondrial",3973822.21475675,3937096.65415456,4138870.0534216,4277268.29188816,4084029.91522721,4422421.54335547,4118343.18083047,4928760.08629789,4829413.03207082,4127470.51435644,4633364.37794753,4382520.00448747,4338543.27865661,4614067.54509094,4766928.23353878,4914166.05769858,0.049885928955426,18.43,167197
"Q8JZN7","Rhot2","Mitochondrial Rho GTPase 2",1206995.20712796,1250052.55057088,1392968.74045744,1492029.2637095,1427200.82015508,1313768.64693338,1349594.1679279,1439135.88003799,1601109.29018204,1363410.74297191,1502878.0498735,1561857.37880427,1437307.16049177,1506673.2817729,1503245.86980791,1585900.28040839,0.0358402101501716,18.14,61870
"Q8K0L9","Zbtb20","Zinc finger and BTB domain-containing protein 20",703371.08208122,731082.857338618,811742.875110868,820599.62214363,695151.263026263,601169.964100006,690906.733168842,722520.839622821,771312.9130597,633309.893117501,730025.736182946,749282.375315065,695513.512879264,736021.749943629,800975.136291546,821605.27049912,0.049885928955426,23.73,43677
"Q8K0U4","Hspa12a","Heat shock 70 kDa protein 12A",288350.762076628,302712.823412428,318238.087571361,285982.965378331,313306.244717422,329443.777011575,324409.543089112,400880.086442685,327423.095752926,353728.785530514,321351.07373432,301768.903496471,333863.362207665,293742.847704218,293540.917158259,290737.202670751,0.0414806424053415,12.27,21224
"Q8K1X4","Nckap1l","",25851.9291451828,20657.9889184946,22896.0339433998,25773.0998410323,22011.0544642296,22494.8095817901,24004.2060872386,27126.0930443056,20256.1826828699,21548.0042440767,20189.881804791,22740.6079102297,20320.8953993346,17814.3051784051,20105.3630274624,21824.8702718674,0.0284525263872816,7.89,1341
"Q8K211","Slc31a1","High affinity copper uptake protein 1",596790.84859337,606264.472548491,580070.686706197,649591.235546875,663807.870650208,527392.621510552,602914.807903683,557243.745751566,631319.92194565,624293.738129182,718216.265710128,611731.40966878,674381.204669954,684797.732336667,630581.916827004,641951.089357114,0.0414806424053415,20.27,28974
"Q8K215","Lyrm4","LYR motif-containing protein 4",731251.834264464,860919.26665247,820646.746803753,855826.278514027,794680.872459482,915629.706390153,747945.927227258,773308.008109262,796072.667086378,566969.654987081,811185.868941879,706407.415318461,863243.031242009,887733.236390867,876355.69550715,809960.613608368,0.049885928955426,2.59,52621
