"uniprot","main_gene","protein_name","I3_1","I3_2","I3_3","I3_4","I9_1","I9_2","I9_3","I9_4","I15_1","I15_2","I15_3","I15_4","I21_1","I21_2","I21_3","I21_4","pval","Phase","Amplitude"
"P60710","Actb","Actin, cytoplasmic 1;Actin, cytoplasmic 1, N-terminally processed",10721.3931479023,7525.28166341539,5010.29601119025,3991.32258673983,4274.97877976604,7684.55802176546,4278.03824182029,5254.01978840308,7201.26964118544,7828.04037201528,6687.67797625544,7245.69039156619,7177.3888412841,9828.6490547356,5712.71617025001,7060.24858567273,0.153346930909611,20.14,1030
"P60755","Mdga2","MAM domain-containing glycosylphosphatidylinositol anchor protein 2",300274.092007167,333243.451323789,216348.171797195,292200.855312814,300154.608460734,320255.359202754,295344.861738348,259876.096225245,295592.451172357,297054.629149759,275024.895349951,296887.396541404,286044.239880056,277641.903332165,296234.830858751,274564.75904031,0.179889036712624,12.13,5284
"P60762","Morf4l1","Mortality factor 4-like protein 1",5710.83959323552,5511.553306392,5449.5916542318,4886.22081627384,5502.2407401798,5882.97500834182,6609.71355071151,4664.63763744713,4184.73697312492,3970.71941043745,4382.68380096025,4241.97987810955,6050.77338895353,4602.19113879015,4801.83849496049,4583.8781515031,0.102427562766659,4.89,664
"P60764","Rac3","Ras-related C3 botulinum toxin substrate 3",64406.5177426688,57883.0942457326,45656.8042826595,45207.1872389692,59938.6726186127,60770.569302898,50700.2138588744,54690.2761029051,57735.7803802379,61536.8998372971,46911.566788863,57419.0319280904,62374.7724310179,61956.9417593283,46686.7380954741,54910.5433747398,0.24191058471304,14.33,920
"P60766","Cdc42","Cell division control protein 42 homolog",2320940.62352025,2352677.7378507,2801064.52583541,2332290.78156481,2269375.28025561,2077603.26149273,2297435.62953554,2751099.54130216,2356547.99887329,2405308.56160234,2505848.28268719,2358922.23630011,2273888.87947163,2406740.95143085,2461667.02467956,2368819.02944347,0.144056185980953,23.26,23096
"P60766-1","Cdc42","Cell division control protein 42 homolog",4477097.01376338,3820942.24410476,3450153.62798805,4118766.4548426,4089716.33960599,4033474.92676171,4179005.46889019,4265243.30383301,4143903.75207753,4205381.47722958,4293470.6551693,4269396.60002605,4105132.14869844,4213130.7702804,3993013.61064447,4533063.12318576,0.144056185980953,15.64,91124
"P60824","Cirbp","Cold-inducible RNA-binding protein",115877.90558958,121340.872181889,103328.829432857,129208.09036012,107919.821477865,149947.011448974,111465.390129558,151341.509675183,120847.315238885,118397.239798497,124785.931596016,124108.576110926,110227.383048176,126307.543706363,125998.512118131,131702.807034014,0.205454339460582,11.69,3702
"P60840","Ensa","Alpha-endosulfine",441822.773932917,438849.436465887,276231.608539285,418894.024909578,451692.830283037,478357.002545324,418595.781242606,349182.332164424,402462.19341281,393286.195330901,398199.615144595,401389.430052009,388814.703235809,386631.884818252,442944.207328623,364780.027833551,0.142687438305481,10.8,12857
"P60843","Eif4a1","Eukaryotic initiation factor 4A-I",491281.568606878,411389.040677658,420102.74592539,497103.462951549,449707.725912655,476371.718685444,469865.999112205,504429.242823593,467043.004783717,438883.056226396,420445.977930793,433349.041144668,424089.538261511,478576.128290472,472990.188416778,456099.574078919,0.153346930909611,6.66,10473
"P60853","Lzts1","Leucine zipper putative tumor suppressor 1",216513.998487985,159850.340728498,88184.7000941415,171857.412513197,173589.115313533,172184.663237392,166687.393151863,168114.085042277,162944.318375717,119075.408174511,140552.821417698,178284.272027656,146533.07811169,123839.839974239,139751.718473294,181716.424517858,0.168355309004035,9.11,9410
