"uniprot","main_gene","protein_name","V3_1","V3_2","V3_3","V3_4","V9_1","V9_2","V9_3","V9_4","V15_1","V15_2","V15_3","V15_4","V21_1","V21_2","V21_3","V21_4","pval","Phase","Amplitude"
"Q9D7M8","Polr2d","DNA-directed RNA polymerase II subunit RPB4",96134.1348328513,104721.509405033,110960.16781974,120996.531035558,112916.094436453,109312.561727095,118413.009056302,111488.129047826,113011.086155438,114517.950168028,121487.929701339,108908.090449722,99232.3353437658,101408.469003743,144165.186377583,102456.066356232,0.0951249588703207,13.55,2663
"Q9D7N3","Mrps9","28S ribosomal protein S9, mitochondrial",141228.932974278,155964.827812349,155025.243306012,161478.456922645,154716.418953988,162107.59050866,141396.343834061,143587.630855374,164154.75838312,145858.719261162,167994.696379788,154155.566730591,158065.464101825,134617.857191462,134063.821908057,142439.299939816,0.0886980335892281,12,3887
"Q9D7N6","Mrpl30","39S ribosomal protein L30, mitochondrial",32462.5854298644,39518.9390781136,40586.8542520554,37235.2821725352,37358.6055517408,37422.3532796327,31906.6033400109,38049.4728588752,44999.2565176968,40569.928232906,43867.9405387756,42144.8569298042,36741.8203356123,38496.8370015799,25167.5793716893,35328.136241149,0.0524807262704558,14.1,3224
"Q9D7N9","Apmap","Adipocyte plasma membrane-associated protein",986047.744460638,1155102.61515789,1174968.293606,1175214.99261285,1176937.36231104,1220286.67795449,1149000.66220057,1142814.69025816,1137011.82414175,1216765.97840819,1136566.62187566,1195115.42114003,1160105.91491642,1157832.55984287,1262835.5590675,1160242.31487402,0.233713061441298,15.62,17053
"Q9D7P6","Iscu","Iron-sulfur cluster assembly enzyme ISCU, mitochondrial",545546.431898765,651989.189259414,623377.001048382,640944.709731817,629078.589846093,681017.023057074,649238.634079475,646728.612594903,653918.029155761,665836.278797837,618501.648978636,631441.892656301,647767.335627593,638026.62715163,666416.311775706,663067.398148433,0.121212053044845,14.9,9430
"Q9D7S7","Rpl22l1","60S ribosomal protein L22-like 1",16026.7886237239,18447.4979157847,20667.3760573891,29308.8851225137,27121.7429981456,32388.9764806716,28607.5551900478,24301.7054623779,25739.7358901194,28827.8972471874,16094.5458865676,26968.6592146594,21681.1128339958,25688.2060998488,18641.4495405445,29261.5606898228,0.0951249588703207,11.51,2425
"Q9D7S9","Chmp5","Charged multivesicular body protein 5",167840.748778293,218524.727318615,187674.700234019,197471.911689667,190493.901647213,183509.938579183,190887.312496101,201543.929418145,192958.4123742,191641.477972687,191042.580570622,193871.406288864,189741.095138269,197471.822440068,213850.13886507,192350.394118545,0.191827664342425,21.42,2528
"Q9D7V2","Lysmd2","LysM and putative peptidoglycan-binding domain-containing protein 2",97612.2580019457,105882.116980079,105761.498432092,114161.098302705,108420.875077752,109543.505615062,107336.333496175,107641.134567372,112754.00924476,119110.28403988,112746.267863058,110323.83720238,104714.573768169,101386.596949247,110308.387700699,129582.840255032,0.0717662087945772,16.23,2987
"Q9D7X1","Kctd4","BTB/POZ domain-containing protein KCTD4",352988.738327453,277656.580825872,389877.687852394,329940.053419054,420100.307745986,400264.580250883,409902.247240208,347947.437346546,315953.381064894,369019.335850024,244525.106725825,318924.467902553,307474.305041531,336707.425388005,364467.419098353,413412.274859012,0.0772775102241011,6.66,27025
"Q9D7X3","Dusp3","Dual specificity protein phosphatase 3",1151954.08736742,1244600.81921937,1284234.46465839,1281520.58493878,1365942.0735213,1229415.42501868,1030429.44303919,1153126.47262045,1351803.15545457,1121073.07381376,1250293.78692462,1260665.52500405,1374185.09587414,1271940.65307331,983037.585613741,1115829.47725059,0.315349702112573,14.01,4327
