Experiment ID,22141.0,
Experiment name,Liver digitonin prot log2,
Job,9e336919-5e29-48b2-a126-7133a830f7db,
Submitted,2022-08-22T16:31:46.852642503,Finished,2022-08-22T16:31:52.364037939,
Method,MFourFit,
Params,amp&baseline dtr min-48.0 p(23.0-25.0),


Summary statistics,
Phase/Amplitude method,by fit,

Group Label,N,,Period,Period Std,,Circ. Phase To Zero,Circ. Phase To Window,Circ. Phase Std,Abs Phase To Zero,Abs Phase To Window,Abs Phase Std,,Amplitude,Amplitude Std,,GOF,ERR,
O08810,1,,23.1,0.0,,9.87,9.87,0.0,9.5,9.5,0.0,,0.02,0.0,,1.0,1.0,
O08811,1,,23.1,0.0,,6.44,6.44,0.0,6.2,6.2,0.0,,0.04,0.0,,1.0,1.0,
O08856,1,,23.1,0.0,,12.85,12.85,0.0,12.37,12.37,0.0,,0.16,0.0,,1.0,1.0,
O08912,1,,23.1,0.0,,2.7,2.7,0.0,2.6,2.6,0.0,,0.07,0.0,,1.0,1.0,
O08914,1,,23.1,0.0,,17.66,17.66,0.0,17.0,17.0,0.0,,0.04,0.0,,1.0,1.0,
O08915,1,,23.1,0.0,,12.1,12.1,0.0,11.65,11.65,0.0,,0.02,0.0,,1.0,1.0,
O08917,1,,23.1,0.0,,15.0,15.0,0.0,14.44,14.44,0.0,,0.07,0.0,,1.0,1.0,
O08919,1,,23.1,0.0,,3.15,3.15,0.0,3.03,3.03,0.0,,0.04,0.0,,1.0,1.0,
O08966,1,,23.1,0.0,,19.9,19.9,0.0,19.15,19.15,0.0,,0.11,0.0,,1.0,1.0,
O08997,1,,23.1,0.0,,21.59,21.59,0.0,20.78,20.78,0.0,,0.03,0.0,,1.0,1.0,
O09000,1,,23.1,0.0,,8.01,8.01,0.0,7.71,7.71,0.0,,0.09,0.0,,1.0,1.0,
O09005,1,,23.1,0.0,,10.38,10.38,0.0,9.99,9.99,0.0,,0.09,0.0,,1.0,1.0,
